,UserStory,Label
0,i can integrate data - packaged data with pipelines that use mongo,Capability
1,i could fill my availble seats or not,Capability
2,i can use it to clean messy data,Soft-goal
3,i know why my submission didn't work,Soft-goal
4,i can easily find a good living situation,Soft-goal
5,"i want to receive notifications on my mobile device ( iphone ) , such as grade posting notices",Capability
6,"i want to be able to check transaction history and keep a record of it ,",Capability
7,i want to specify the major places where i pass by,Capability
8,"i want to do a full - text search of article body , title , and author name ,",Capability
9,i can perform management actions on any dataset,Task
10,i want one source to go to to see all my assignments,Capability
11,i can know how to fix it,Soft-goal
12,"i want to download the uploaded fabs file ,",Capability
13,"funding agencies can identify the funding , source for a given dataset",Capability
14,i can cite it in papers stored with the data,Capability
15,"i want to check the status of a transaction ,",Capability
16,i can successfully update the transactional parcel pin to reference the gis layer where the split or merged parcel pin exists,Capability
17,i can use this in scenarios that might enable comparison by normalisation,Capability
18,i can successfully change information on an application,Capability
19,"we would like to have a shared space to post flyers , to promote events",Capability
20,"i want to click the link from the article teaser to take me directly to the body of the article not to another teaser setup ,",Capability
21,"i want to be able to get a csv output of any cube - based query ,",Capability
22,"i want to request a plan review meeting ,",Capability
23,"i want an eprints integration ,",Capability
24,"i want a tool that can generate basic statistics about a dataset ,",Capability
25,i can ensure compliance with and satisfaction of the proffer in the future,Soft-goal
26,i want to search for a ride,Task
27,"i want to remove a hold ,",Capability
28,i can use color to see at a glance the different categories of things i have to do,Capability
29,"i can record work in process , outcome , and location - based information related to the plan(s )",Capability
30,"i want an elasticsearch integration ,",Capability
31,i want to know which ride is the nearest ride,Capability
32,"i want to include a teaser with each article ,",Capability
33,i can be sure that column of my dataset are valid against a single shard list of terms,Soft-goal
34,i'd like to connect with alumni that have gone into my field,Capability
35,"i want to redesign the resources page ,",Task
36,"i want to fill out an application to become a certified scrum trainer ,",Capability
37,i want to accept or reject the riders by mean of sms or email address,Capability
38,"i want to be assured that no one can submit the same answers multiple time and skew my results ,",Capability
39,"i can obtain all associated current and historic owners , permits , and applications",Capability
40,"i want to prepare for and support hearing execution ,",Task
41,"i want validate my data with a minimum of clicks ,",Capability
42,"i need to be notified when geospatial attributes change ,",Capability
43,the best content is featured most prominently,Soft-goal
44,i can load all fpds data since 2007,Capability
45,"i want to specify the conditions of the ride ( price , size of bags , pets allowed or not , disposed to talk or not )",Capability
46,i can maintain accurate ordinance information in the system,Task
47,"i want to delete any course or event ,",Capability
48,i want to have access to a help section,Capability
49,the spending lines in my dataset is more understandable,Capability
50,"i want to post information in a trainers - only section ,",Capability
51,"i want to view a course i can click on the trainer's name and be taken to the trainer's profile ,",Capability
52,my data is more easily discoverable,Soft-goal
53,i remain sufficiently and easily informed,Soft-goal
54,"i want to submit my application in the android market , and implement the sms service and the voice service",Capability
55,i want to see a plan of what classes are planned for the upcoming 3 - 4 years,Capability
56,i can correct or enhance existing data,Capability
57,it is more findable and therefore useful,Soft-goal
58,i can get where i need to be on time,Hard-goal
59,"i want to be able to normalise measures by gdp ,",Capability
60,i want more information about how many rows will be published prior to deciding whether to publish,Soft-goal
61,i don't have to regenerate a file if no data has been updated,Capability
62,"i want to receive a reminder and a link ,",Capability
63,"i want hdf5 integration ,",Capability
64,i can get a quick preview of the data,Soft-goal
65,i want to be able to distinguish or filter in assignments with deliverables ( papers ) while filtering out assignments without deliverables ( readings ),Capability
66,visitors are incentivized to become members,Soft-goal
67,"i want to be able to edit a dataset i have published ,",Capability
68,"i can ensure all plan review tasks are completed , results have been sent to the applicant and any downstream steps are initiated such has a final review or payment for permit issuance",Hard-goal
69,"i want to read faqs ,",Capability
70,i want to provide fabs groups that function under the frec paradigm,Capability
71,"i want to perform a completeness review ,",Task
72,"i want to be able to translate the data types hierarchies of the viewer while in embed mode ,",Capability
73,"i want to scroll through a listing of jobs ,",Capability
74,i want to post or create a ride,Capability
75,"i want additional helpful info in the submission dashboard ,",Capability
76,i want to receive notification of grades when they are posted,Capability
77,"i would like an integration with excel ,",Capability
78,"i want to conduct and track plan amendments and planning studies ,",Task
79,i want to be informed of academic calendar deadlines,Capability
80,i can find guidance in creating my own with open spending,Capability
81,i want to be sure that usaspending only send grant records to my system,Soft-goal
82,i can access both sides of the site,Capability
83,"i want to know as soon as i visit what on earth scrum is and why it needs an alliance ,",Soft-goal
84,"i can deal with takedown requests , or clean up test datasets",Capability
85,i can view dabs pages without wanting two sets of permissions,Capability
86,i can access things i remember from the past or that others mention to me,Capability
87,"i want to get a data package into r in seconds ,",Capability
88,i want to have the 12 - 19 - 2017 deletions processed,Capability
89,i can meet with the plan review staff regarding the plan review,Capability
90,my certification status can be activated,Capability
91,i want to be confident that the data coming from sam is complete,Hard-goal
92,"i want to create the content of the what is scrum section ,",Capability
93,"i want to subscribe to an rss feed of news ,",Capability
94,"i want to have an app where i can find examples of use of fiscal data visualisations ,",Soft-goal
95,"i want to create a customer portal user account ,",Capability
96,"i want to send a formal response to applicant ,",Capability
97,others see the company's support of scrum,Capability
98,i can contact to the driver,Capability
99,the site has plenty of content,Soft-goal
100,"i can review the request and if approved , associate it with the appropriate project",Task
101,they can be considered for publication,Hard-goal
102,"i want to move on to round 2 of dabs or fabs landing page edits ,",Capability
103,i want to contact a possible driver directly though the carpooling system using sms or calling the driver,Task
104,i want my events and Capability ( assignments ) automatically provided and prominently displayed,Capability
105,i want to pay my bills with a credit card,Capability
106,i can share information with other staff collaborating on the record,Capability
107,i can quickly find what i am looking for,Soft-goal
108,others can learn about me and decide if i am the right trainer for them,Soft-goal
109,we can work together,Soft-goal
110,i want it to be easier to make payments ( not have to convert currency or pay extra wire transfer fees due to frequent bill adjustments ),Soft-goal
111,i can find what i want,Task
112,i can identify the neighbourhoods with the largest number of drop - offs and to try getting more facilities involved,Capability
113,i can arrange drop - offs on my off days or during after - work hours,Capability
114,i can validate customer compliance with code and regulations and provide results of the inspection to the customer,Capability
115,"i want to link the sample file on the "" what you want   to submit "" dialog to point to the correct file ,",Capability
116,"i want to be able to customize features and content ,",Capability
117,"i want to get a data package into spss in seconds ,",Capability
118,"i want to satisfy hearing requirements ,",Soft-goal
119,users get the most recent information,Soft-goal
120,i can cancel a ride,Capability
121,i want to be able to easily see my upcoming events and Capability ( with large calendar ),Capability
122,i can ask questions about her / his ride,Capability
123,"i want to access an api from the website ,",Capability
124,"i want to be able to manage / integrate my personal budget ,",Task
125,i can find a suitable customer,Capability
126,i can correct problems for members,Hard-goal
127,i can easily design my website,Task
128,i want to have the news feed from the application,Capability
129,"i want to have accurate information about required , breadth & major requirements ,",Capability
130,others know my certifications when reading,Soft-goal
131,i can share data that i have found with others,Capability
132,"i want to see scholarship information that is relevant to my status ,",Capability
133,"i want to view all locations of recycling centers on a map ,",Capability
134,i can use it flexibly,Soft-goal
135,"i want to handle all users' activities ,",Task
136,i can have a sense of what people are doing on our sites and know the service status,Soft-goal
137,my users can understand the interface in their native language,Soft-goal
138,i want to be able to see photos of my current gsis and instructors,Capability
139,"i want to evaluate consistency with the comprehensive plan ,",Task
140,"i want to know what my data needs to be able to be visualised on a map ,",Capability
141,others can read them,Soft-goal
142,i want to be planning my schedule all semester,Task
143,"i want to list my upcoming classes in my profile and include a link to a detailed page about each ,",Capability
144,"i would like to be able to easily see how much my assignments count towards my grade , and would like to see my grades in the context of the syllabus",Capability
145,"i want to have something that presents and helps me keep track of all the steps for Capability ( attaining california residency , graduation - related items )",Capability
146,i need to figure out what email is important to me ( one suggestion : good subject lines ),Capability
147,"i would like an integration with open refine ,",Capability
148,"i want to reset the environment to only take staging max permissions ,",Capability
149,"i want to maintain a faq section ,",Capability
150,"i want to have a view on all datasets published by all users ,",Capability
151,i can learn that quickly,Task
152,i choose a course from an appropriate trainer,Capability
153,i can get the uploaded file,Capability
154,"i want to be able to use data to get results from multiple datasets ,",Capability
155,i get them done on time and don't forget any of them,Hard-goal
156,i can track hearing - related activities and due dates,Capability
157,"i want to stop publishing jobs on the site 30 days after being posted ,",Capability
158,i can benefit from the wide array of tools available for data packages,Soft-goal
159,i'd like a degree planner that plans against a real class schedule allowing me to finish in 4 years,Soft-goal
160,i can finish it,Capability
161,i can view them later,Capability
162,"i want to have a functioning python client ,",Capability
163,i want to have a secured way of payment,Capability
164,i want to easily see when i have to pay my bill and how much i owe,Soft-goal
165,"i want to be able to get the hours of each recycling facility ,",Capability
166,i can customise the branding for my own needs,Capability
167,i don't want to see nasa grants displayed as contracts,Capability
168,i can read more about a trainer before registering for a course,Capability
169,"i want to have a blog that highlights any and all projects in the open fiscal space ,",Capability
170,"i want to be able to change the colors of the embedded visualisations in my own platform ,",Capability
171,"i want to request inspection ,",Capability
172,"i want feather integration ,",Capability
173,i can schedule and assign the inspection,Task
174,i'd like to see the syllabus without having to download it,Capability
175,"i want to easily discover campus resources such as health benefits , housing options , and how to get around campus",Soft-goal
176,"i want to have accurate , clear presentation of waitlist and enrollment data",Soft-goal
177,"i want to get my excel spreadsheet into a data package ,",Capability
178,"i want to have clear explanation of the enrolllment process , including waitlist",Soft-goal
179,"i want to specify the funding that contributed to the creation of a given dataset ,",Capability
180,"i want to connect with people who have similar interests , possibly by sharing my interests",Capability
181,i can be totally on top of my progress,Capability
182,i want to comment on the ride and its driver,Capability
183,i can ensure that i am reviewing the permit / application to the most current data and appropriate standards,Hard-goal
184,we can connect,Capability
185,i want to ensure i don't overlook important emails,Soft-goal
186,support gets fewer easily answered questions,Soft-goal
187,"when i store my dataset in github , i donâ€ ™ t have to retype descriptive information about my dataset",Capability
188,"i want to record an internal note ,",Capability
189,"i want to manage bonds ,",Task
190,i can better manage submissions and ig requests,Task
191,my dataset is more useful,Soft-goal
192,my methodology is transparent and can be rerun by others,Soft-goal
193,i can fix possible data issues before publishing it on open spending,Capability
194,"i want to ensure the broker resources , validations , and p&p pages are updated appropriately for the launch of fabs and daims",Capability
195,"i want to manage ordinances ,",Task
196,i want to store my data quickly and easily online,Capability
197,"i want to have a website that is easy to use ,",Soft-goal
198,"i want to be able to delete a dataset i have published ,",Capability
199,i can better understand the visual logic of the map view,Soft-goal
200,they register and there's a benefit to my membership,Task
201,"i want to have full access to all articles ,",Capability
202,"i want to read information of relevance only to trainers ,",Capability
203,i can learn from them or use them,Task
204,"i want to add the updates on a fabs submission to be modified when the publishstatus changes ,",Capability
205,i want to be able to add a Capability on the dashboard,Capability
206,i can integrate data - packaged data with pipelines that use feather,Capability
207,"i want to see textual descriptions that accompany embedded visualisations ,",Capability
208,she would like uc berkeley systems to handle her address and not make her re - enter it every time,Capability
209,"i want to embed an interactive preview of my data on my site ,",Capability
210,i can claim that we are living up to our transparency commitments,Capability
211,"i want to see a trainer's rating ,",Capability
212,"i want to access old news that is no longer on the home page ,",Capability
213,"i like to keep my personal , work / club and course email separate",Capability
214,i want to receive updates to fabs records,Capability
215,"i want to request preapplication assistance ,",Capability
216,i'm not confused with the amounts,Soft-goal
217,i want to upload and validate the error message to have accurate text,Capability
218,they fix them,Task
