,UserStory,Label
0,excel won't strip off leading and trailing zeroes,Hard-goal
1,"i want to be able to download an image ofa particular view state ,",Capability
2,"i want to manage approved proffers ,",Task
3,i want to ensure that attempts to correct or delete non - existent records don't create new published data,Capability
4,"i want an elasticsearch integration ,",Capability
5,"i want to view the profiles of other members ,",Capability
6,i want to be able to include a large number of flexfields without performance impact,Capability
7,"i want to be able to check that every time i update my data it is still good ,",Capability
8,"i want to choose a flexible pick up time ,",Capability
9,"i want my domain models to be indexed properly ,",Capability
10,i would like a tool to check data availability persistence after publication,Capability
11,i know how to use the web app,Soft-goal
12,i can better understand the visual logic of the map view,Soft-goal
13,i can view dabs pages without wanting two sets of permissions,Capability
14,i can view in real - time how many users have visited my recycling center information and their recyclable waste,Capability
15,"i want to assign inspections ,",Capability
16,i want to confirm the proposal,Capability
17,"i want to be able to block specific users based on ip address ,",Capability
18,"i want to be able to save new visualizations ,",Capability
19,i can perform management actions on any dataset,Task
20,i can find the datasets i'm interested in,Task
21,i don't want to have to filter through ads to get to important content,Capability
22,i can customize the visualisations,Capability
23,"i want an eprints integration ,",Capability
24,i can determine which ones i should consider,Capability
25,they fix them,Task
26,we can work together,Soft-goal
27,"i want to embed an interactive preview of my data on my site ,",Capability
28,i know how interest in a dataset relates to its actual download numbers,Soft-goal
29,"i want to be able to create an acocunt ,",Capability
30,i can create a new one,Capability
31,i want to be sent an email welcoming me to the scrum alliance and with instructions to register or activate my membership once my name has been loaded to the registry,Capability
32,i can renew my membership,Capability
33,i need to collaboratively create documents with other students,Capability
34,i can decide if i want to attend any,Capability
35,i can ensure plans have been assigned to the appropriate plan reviewer,Capability
36,i can pay by sms,Capability
37,i can offer functionality based on platform administration privileges,Task
38,"i want a mongo integration ,",Capability
39,"i want to see a list of all upcoming other courses and can page through them if necessary ,",Capability
40,i know the potential scope of the ui improvements want ed,Soft-goal
41,i can capture my response to the request in the system and also send a communication from the system to the applicant,Capability
42,"i want to have clear explanation of the enrolllment process , including waitlist",Soft-goal
43,i need to keep track of the Capability and assignments i have to do,Capability
44,i want to ensure that deleted fsrs records are not included in submissions,Capability
45,"i want to see scholarship information that is relevant to my status ,",Capability
46,"i want to have articles that interest me and are easy to get to ,",Soft-goal
47,i can present the application to the appropriate governing body within the timelines dictated by the relevant county rules and procedures,Task
48,"i want to click on the address ,",Capability
49,"i want to contact the administrators ,",Capability
50,"i want to issue a notice of violation ,",Capability
51,i want the fabs validation rules to accept zero and blank for non - loan records,Capability
52,i can submit my financial assistance data,Capability
53,i want to be notified that a candidate rider applied for one of my rides,Capability
54,the information in the database is correct,Hard-goal
55,"i can review the request and if approved , associate it with the appropriate project",Task
56,i can find what i want,Task
57,i can quickly see my submission history,Capability
58,"i want to request a plan review meeting ,",Capability
59,i don't list events i don't really intend to hold,Capability
60,i can upload or delete stuff step by step,Capability
61,"i want to have a functioning python client ,",Capability
62,i don't need to involve a programmer on simple email edits,Soft-goal
63,i can provide my analysis and show my work to users of the data,Task
64,"i want to conduct and track plan amendments and planning studies ,",Task
65,i'd like to see my ucb bills & awards in the context of my personal budget,Capability
66,my agency codes are correct in the publishedawardfinancialassistance table,Hard-goal
67,"i want to do a full - text search of article body , title , and author name ,",Capability
68,"i want to be able to communicate directly with the site admin and convey any issues or concerns i have ,",Hard-goal
69,"i want to move on to round 2 of the help page edits ,",Capability
70,i want to manage my mealpoints on,Task
71,i can create community & connection,Capability
72,i can integrate data - packaged data with pipelines that use spss,Capability
73,i have a pleasant experience when navigating through them,Soft-goal
74,"i want to be able to provide a visualization of data in the data package ,",Capability
75,i want to be able to keep track of which emails are important to come back to,Capability
76,i can finish articles that appeal to me,Capability
77,i can benefit from the wide array of tools available for data packages,Soft-goal
78,"i want an app that acts as a match - making service for packaging data ,",Capability
