,UserStory,Label
0,"i want to assign inspections ,",Capability
1,i can offer functionality based on platform administration privileges,Task
2,"i want to generate planning - related reports ,",Capability
3,i want to have access to the full information of all employees working for this business,Capability
4,"i can obtain all associated current and historic owners , permits , and applications",Capability
5,"i want to request inspection ,",Capability
6,i have a pleasant experience when navigating through them,Soft-goal
7,i can correct or enhance existing data,Capability
8,i'd like to be able to bookmark class sites that aren't automatically included ( piazza ) in calcentral,Capability
9,"i want to click on the address ,",Capability
10,"i want to pay fee ,",Task
11,i want to be able to view the safe disposal events currently being organised around my area,Capability
12,i can prevent spamming on the websites,Capability
13,i can be sure that column of my dataset are valid against a single shard list of terms,Soft-goal
14,i can see it easily,Capability
15,"i want to quickly access broker application data ,",Capability
16,i want to use the application on my smartphone,Hard-goal
17,"i want to manage inspector workload ,",Task
18,i can relate to as the central hub of fiscal openness,Soft-goal
19,i want to submit records for individual recipients without receiving a duns error,Capability
20,"i want to be able to delete a dataset i have published ,",Capability
21,"i want to map lines in my dataset using geographic data in my dataset ,",Capability
22,i want to be informed of academic calendar deadlines,Capability
23,i can remove unwanted data from openspending,Capability
24,i can check which routes to take to drop off waste,Capability
25,i can more conveniently use the website,Soft-goal
26,i can offer the seat,Task
27,i can effectively planning my academic career,Task
28,"i want to download the latest training material and methodology pdfs ,",Capability
29,i can easily create a bill statement,Capability
30,my methodology is transparent and can be rerun by others,Soft-goal
31,there are no duplicates,Hard-goal
32,such can be shared more easily and contribute to a visualisation gallery,Soft-goal
33,"i want the d1 file generation to be synced with the fpds data load ,",Capability
34,i am up to day without having to visit the site,Soft-goal
35,"i want to see correct status labels on the submission dashboard ,",Capability
36,i can maintain accurate ordinance information in the system,Task
37,i would like to see how my awards compare to my bills,Capability
38,i can share data that i have found with others,Capability
39,"i want to create the content of the what is scrum section ,",Capability
40,articles are published on and through appropriate dates,Capability
41,i can validate my data upon ingest to the service,Capability
42,i have visibility,Soft-goal
43,i remain sufficiently and easily informed,Soft-goal
44,"i want to create an inspection ,",Capability
45,i can finish it,Capability
46,"i want to check the status of a transaction ,",Capability
47,the rider knows about it and can search for another possibility,Task
48,i have an accurate reference for my agency submissions,Soft-goal
49,i can integrate it and implement certain features in my own ios application,Capability
50,"i want to be able to create an acocunt ,",Capability
51,i could hop on real quick,Soft-goal
52,i can track the outcome and record the impact on the relevant records,Capability
53,i want to be able to add a Capability on the dashboard,Capability
54,"i want to access the route planning system during work ,",Capability
55,"i want to fill out an application to become a certified scrum practitioner ,",Capability
56,i can import datasets without downloading them locally,Capability
57,"i like to keep my personal , work / club and course email separate",Capability
58,i can submit my data efficiently,Capability
59,"i want to have access to user stats and schedules ,",Capability
60,i don't bounce immediately oï¬€ the page,Soft-goal
61,i want to view and pay my university bills in one place,Capability
62,i know about recycling centers near me before creating an account,Hard-goal
63,"i want to derive fundingagencycode ,",Task
64,a county inspector is assigned to perform an inspection of my project,Task
65,i can fix bugs or make enhancements in the api built for my data,Capability
66,i want to have all derived data elements derived properly,Soft-goal
67,i can plan ahead,Task
68,the best content is featured most prominently,Soft-goal
69,"i want to be emailed a reminder seven day before an ad is about to expire ,",Capability
70,"i want to view all locations of recycling centers on a map ,",Capability
71,i can earn that designation,Soft-goal
72,i work with datasets in reference to their contextual constraints,Soft-goal
73,"i want to design a database that will contain the information coming from voice , sms and an android application to propose and book rides",Task
74,i can integrate data - packaged data with pipelines that use mongo,Capability
75,i can use data packages in workflows that involve ms - sql,Capability
76,"i want to be able to check transaction history and keep a record of it ,",Capability
77,"i want to mark my email address as private even if the rest of my profile is not ,",Capability
78,i can view in real - time how many users have visited my recycling center information and their recyclable waste,Capability
79,"i want to be able to get back to the home page quickly and easily ,",Capability
80,i can validate stakeholder ui improvement requests,Capability
81,my dataset is more useful,Soft-goal
82,i can know for sure my waste is not going to leave a negative ecological footprint,Hard-goal
83,i want to contact to the driver,Capability
84,"i want to be assured that no one can submit the same answers multiple time and skew my results ,",Capability
85,i know when the status of the submission has changed,Hard-goal
86,i don't have to regenerate a file if no data has been updated,Capability
87,only trainers see it,Soft-goal
88,"i want to be able to read users' feedback and complaints ,",Capability
89,i want to read the entire article,Capability
90,i can use the best tool for the job,Soft-goal
91,"i want to set the annual fees for members , practitioners and trainers ,",Capability
92,i want to feel connected to the campus,Soft-goal
93,i can find others i might want to connect with,Capability
94,"i want to view lists on the site of all certified scrum masters , practitioners , trainers , and certified scrum product owners",Capability
95,"i want to view user documentation for the website ,",Capability
96,"i want to add donation centers as favorites on my profile ,",Capability
97,i can satisfy documentation requirements for my application,Capability
98,"i want feather integration ,",Capability
99,my departure place is specified by default,Capability
100,i don't end up in a class i don't want by mistake ( which happened ),Soft-goal
101,i can get approvals from leadership,Hard-goal
102,i can have access to rides from a to b,Capability
103,i can meet service level and quality requirements,Soft-goal
104,"i want to update one of my existing courses or events ,",Capability
105,others can read them,Soft-goal
106,"i want to see a list of the most popular items on the site ,",Capability
107,i can use work with tools that read csv,Capability
108,"i want to create a custom query / report outside of the common querying / reporting functionality ,",Capability
109,"i want to accurately see who created a submission ,",Capability
110,"i want to assign a hearing date ,",Task
111,i am aware of it and can decide if i want to post it,Capability
112,"i want to have some flexibility as to where things appear ,",Soft-goal
113,i can track hearing - related activities and due dates,Capability
114,i can be an efficient and effective student at berkeley,Soft-goal
115,"i want to remove a hold ,",Capability
116,i want to personalize news feeds ( daily cal instead of campus news ),Capability
117,"i want to design an audit from the ui sme ,",Task
118,i want to ensure i don't overlook important emails,Soft-goal
119,"i want to be charged a fee once i am approved for practitioner status ,",Capability
120,i can output cleaned data packages,Capability
121,i read more,Soft-goal
122,"i want to link my email account to my profile ,",Capability
123,"i want to contact the administrators ,",Capability
124,i want to be able to see photos of my current gsis and instructors,Capability
125,"i want to use bootstrap in the process of developing ,",Capability
126,"i want to be able to extend an ad for another 30 days by visiting the site and updating the posting ,",Capability
127,i want all historical financial assistance data loaded for fabs go - live,Capability
128,"i want to have all data encrypted ,",Capability
129,i want to offer the ride,Task
130,"i want to be able to browse through the list of facolities and see which ones are environment - friendly ,",Capability
131,i don't want to see nasa grants displayed as contracts,Capability
132,i can see if there any i am interested in,Capability
133,i can easily find a good living situation,Soft-goal
134,i am not confused,Soft-goal
135,"i want to be able to get the hours of each recycling facility ,",Capability
136,i need to filter out email that isn't important to me,Capability
137,"i want to join the scrum alliance by paying a corporate membership fee ,",Capability
138,i can be totally on top of my progress,Capability
139,i can manage more efficiently,Soft-goal
140,"i want to display my logo on a corporate sponsors page ,",Capability
141,"i need to be notified when geospatial attributes change ,",Capability
142,i can capture my response to the request in the system and also send a communication from the system to the applicant,Capability
143,i can find an optimal route and schedule,Capability
144,i don't need to involve a programmer on simple email edits,Soft-goal
145,"i want to subscribe to an rss feed of news ,",Capability
146,"i want to read faqs ,",Capability
147,the site has plenty of content,Soft-goal
148,i want to have all of my financial information in one place,Capability
149,"i want to have an advanced search option that lets me fill in a form of search criteria ,",Capability
150,"i want the header information box to show updated date and time ,",Capability
151,"i want to manage ordinances ,",Task
152,i can receive any posted bond and/or obtain occupancy,Capability
153,i can identify the neighbourhoods with the largest number of drop - offs and to try getting more facilities involved,Capability
154,my ad remains active,Capability
