,UserStory,Label
0,i can provide formal communication to the responsible party,Capability
1,i don't list events i don't really intend to hold,Capability
2,"i want to choose a flexible pick up time ,",Capability
3,i can ensure compliance with and satisfaction of the proffer in the future,Soft-goal
4,"i want to post information in a trainers - only section ,",Capability
5,"i want to be able to import data in excel ,",Capability
6,i can view in real - time how many users have visited my recycling center information and their recyclable waste,Capability
7,"i want to be able to delete any dataset published ,",Capability
8,i can provider wider visual context for mapping visualisations,Capability
9,"i want to schedule user testing ,",Task
10,i can start using the data in doing analysis and visualizations,Task
11,"i want to submit my application in the android market , and implement the sms service and the voice service",Capability
12,i know how to use the web app,Soft-goal
13,"i want to assign inspections ,",Capability
14,i need to be oriented to the campus and the various online services,Soft-goal
15,i want to make some updates to the sql codes for clarity,Capability
16,i'd like to check off and see my completed Capability,Capability
17,i can integrate data - packaged data with pipelines that use dspace,Capability
18,"i want to upload my week's schedule ,",Capability
19,"i want to be able to translate the data types hierarchies of the viewer while in embed mode ,",Capability
20,i can correct small problems or make sure each ad complies with site guidelines,Capability
21,"i want to manage affidavits ,",Task
22,"i want to specify the funding that contributed to the creation of a given dataset ,",Capability
23,"i want to propose a ride from a to b with the price , location and time of departure , and number of seats available",Task
24,"i can review the request and if approved , associate it with the appropriate project",Task
25,"i want to capture a hearing decision ,",Capability
26,i can find others i might want to connect with,Capability
27,i read more,Soft-goal
28,i want the fabs validation rules to accept zero and blank for loan records,Capability
29,they fix them,Task
30,i don't need to involve a programmer on simple email edits,Soft-goal
31,i can correctly classify anything that was entered incorrectly,Soft-goal
32,"i want to add type information to my data ,",Capability
33,"i want to assign priority numbers to news items ,",Capability
34,i want to get file f in the correct format,Capability
35,"i want to review plans ,",Capability
36,i want to have access to a usable service following the standard,Capability
37,i want to use gps positioning to get an instance transport offer,Capability
38,i want to get access to the details of a ride,Capability
39,it's no longer listed if i cancel for some reason,Capability
40,i want to be sure that usaspending only send grant records to my system,Soft-goal
41,"i want to be able to give my email id ,",Capability
42,"i want to be able to get a csv output of any cube - based query ,",Capability
43,i can integrate data - packaged data with pipelines that use feather,Capability
44,"i want to be able to delete a dataset i have published ,",Capability
45,i want to get paid in a secured way,Capability
46,"i want to update the recycling center information ,",Capability
47,"i want an integration with ,",Capability
48,"i want an app that acts as a match - making service for packaging data ,",Capability
49,"i want to have something that presents and helps me keep track of all the steps for Capability ( attaining california residency , graduation - related items )",Capability
50,"i want to see a trainer's rating ,",Capability
51,i don't get lost navigating,Soft-goal
52,i want it to be easier to make payments ( not have to convert currency or pay extra wire transfer fees due to frequent bill adjustments ),Soft-goal
53,i like to be able to adjust the colors in the applications i use,Capability
54,i want to arrange the list of the driver that i search,Capability
55,i can remove unwanted data from openspending,Capability
56,i don't have a registration block or pay late fees,Hard-goal
57,users get the most recent information,Soft-goal
58,i want to pay by credit card,Capability
59,i want to clarify to users what exactly is triggering the cfda error code in each case,Capability
60,"i want to one place to easily find clubs that are relevant to my interests , academic pursuits and career goals",Capability
61,i want to have all of my financial information in one place,Capability
62,"i want to redesign the resources page ,",Task
63,i am up on all the latest happenings,Soft-goal
64,i can quickly see my submission history,Capability
65,"i want to be able to browse through the list of facolities and see which ones are environment - friendly ,",Capability
66,"i want to create an other course or event that is not charged a listing fee ,",Capability
67,i want historical fpds data loaded,Capability
68,the riders confirm firmly their seat,Capability
69,anyone can unsubscribe from the service,Capability
70,"i want to receive notifications on my mobile device ( iphone ) , such as grade posting notices",Capability
71,i can fix or review any issues that are being faced by users of the system,Task
72,i need a back - up plan for viewing my calendar & Capability if electronics fail,Capability
73,"i want to have an app where i can find examples of use of fiscal data visualisations ,",Soft-goal
74,i can give them additional exposure,Soft-goal
75,"i want to request a plan review meeting ,",Capability
76,"i would like an integration with open refine ,",Capability
77,i'd like to be able to bookmark class sites that aren't automatically included ( piazza ) in calcentral,Capability
78,i can preserve the history of draft proffer statements submitted by the applicant,Capability
79,"i want to have accurate information about required , breadth & major requirements ,",Capability
80,i don't end up in a class i don't want by mistake ( which happened ),Soft-goal
81,i can successfully change information on an application,Capability
82,i'm not confused about who last updated a submission,Soft-goal
83,it's there for visitors,Capability
84,i can correct or enhance existing data,Capability
85,i can register to the service,Task
86,"i want to prevent users from double publishing fabs submissions after refreshing ,",Capability
